SPLETNISISTEMI_BANKART_PAYMENT_START,"Inicializacija Bankart sistema. V primeru, da preusmeritev ni uspe&scaron;na pritisnite gumb naprej."
SPLETNISISTEMI_BANKART_REDIRECTION_START,"Preusmerjanje na Bankart sistem. V primeru, da preusmeritev ni uspe&scaron;na pritisnite gumb naprej."
SPLETNISISTEMI_BANKART_PAYMENT_ERROR,"There has been an error processing your Bankart payment. Please try again."
SPLETNISISTEMI_BANKART_CURRENCY_CODE_ERROR,"Selected currency code (%s) is not compatabile with Bankart"
SPLETNISISTEMI_BANKART_APPROVED_INVOICE_CREATED,"Bankart Aproved. Invoice %S created."
SPLETNISISTEMI_BANKART_REJECTED,"Bankart transaction was rejected."
SPLETNISISTEMI_BANKART_APPROVED_INVOICE_FAILED,"Bankart Aproved. Invoice was not created."
SPLETNISISTEMI_BANKART_PAYMENT_DESCRIPTION,"Po zaklju&#269;ku naro&#269;ila boste preusmerjeni na sistem Bankart. Vnesite &scaron;tevilko kreditne kartice ter varnostno kode. V naslednjem koraku potrdite pla&#269;ilo in nakup je zaklju&#269;en."
SPLETNISISTEMI_BANKART_CUSTOMER_REDIRECT_TO_BANKART,"Customer was redirected to Bankart."
SPLETNISISTEMI_BANKART_PAYMENT_SUCC,"Customer payment successful."
SPLETNISISTEMI_BANKART_FAILURE_CONTINUE_SHOPPING,"Please <a href='%s'>continue shopping</a>."